y_true,y_pred,y_text,content,category
0,0,Hello! How can I assist you today?,Ok em Cám ơn em,others
0,0,"Đáp án: 0. Không phân tích được.
""Mkk"" không cung cấp đủ thông tin để hiểu được ý kiến hoặc thái độ của người bình luận. Nếu có thêm thông tin hoặc bình luận khác, tôi sẽ cố gắng giúp bạn phân tích hơn.",mkk,others
2,5,"Đáp án: 5. Không thích sản phẩm.
Bình luận ""Lên quần jean k chi"" cho thấy người bình luận không hứng thú với sản phẩm quần jean. Từ ""k chi"" có thể hiểu là người bình luận không muốn mua sản phẩm này.",Lên quần jean k chi,others
1,2,"Đáp án: 2. Đặt câu hỏi.
Bình luận ""Tối mấy giờ c lại tiếp vậy"" là một câu hỏi, người bình luận muốn biết lịch trình của livestream bán hàng để có thể quay lại và xem tiếp.",Tối mấy giờ c lại tiếp vậy,others
0,2,"Đáp án: 2. Bình luận này là một câu hỏi về việc liên lạc để hỏi về sản phẩm (""Dạ vậy chị cứ gọi để e nói bạn e để ý máy""). Người bình luận muốn chị bán hàng gọi lại cho anh/chị để giải đáp thắc mắc hoặc cung cấp thêm thông tin về sản phẩm.",Dạ vậy chị cứ gọi để e nói bạn e để ý máy,others
3,3,Đáp án: 3. Người bình luận có vẻ như đang yêu cầu mã sản phẩm số 1 hoặc muốn xem thông tin chi tiết về sản phẩm mã số 1.,Mã 1,others
3,5,"Đáp án: 5.
Giải thích: Bình luận ""Dam nau"" không có liên quan gì đến sản phẩm hay chương trình livestream bán hàng. Vì vậy, không thể phân loại nó vào các nhãn khác. Tuy nhiên, dựa trên ngữ cảnh, bình luận này có thể được hiểu là người viết không thích sản phẩm.",Dam nau,others
2,5,Đáp án: 5. Người bình luận cho biết họ không thích sản phẩm và cụ thể là không thích túi.,Túi còn k thương,others
3,4,"Đáp án: 4. Người bình luận đã đặt mua sản phẩm có mã là 1 và bây giờ muốn dồn hàng, tức là đã chốt đơn hàng.",Mã 1 dồn,others
2,3,"Đáp án: 3.
Giải thích: Bình luận này đang hỏi về thông số sản phẩm, cụ thể là việc sản phẩm còn sét ngọc trai nữa không. Việc hỏi về thông số sản phẩm tương đương với đưa ra yêu cầu về sản phẩm và thuộc nhóm đáp án số 3.",Còn sét ngọc trai nữa k ạ,others
2,3,"Đáp án: 3. Người bình luận đang hỏi về thông số của sản phẩm, cụ thể là kích cỡ S và giá của sản phẩm quần trong bài livestream.",Quần thương mặc còn size S kg giá bn dja,others
3,3,"Đáp án: 3.
Giải thích: Bình luận này có chứa thuật ngữ ""Set trắng"", có thể đề cập đến sản phẩm mà người bán đang giới thiệu trong livestream. Nhưng nếu chỉ có mỗi cụm từ ""Set trắng"" thì không đủ để xác định được người bình luận đang nhắm đến điều gì cụ thể hơn. Tuy nhiên, có thể đánh giá đó là việc chọn thông số cho sản phẩm nếu như thông tin về ""Set trắng"" là đầy đủ và cụ thể.",Set trắg,others
0,0,"Đáp án: 0.
Giải thích: Bình luận ""‘N"" không cung cấp đủ thông tin để phân tích ý định của người bình luận, không có đủ dữ liệu để đưa ra kết luận.",‘N,others
3,3,"Đáp án: 3.
Giải thích: Bình luận ""Mã 3"" có thể được hiểu là người bình luận đang muốn chọn mã sản phẩm là số 3. Điều này cho thấy người bình luận đang chọn thông số cho sản phẩm.",Mã 3,others
3,3,"Đáp án: 3. Bình luận này có nội dung ""Mã 5"", có thể đang muốn chọn thông số hoặc phiên bản sản phẩm có mã số 5. Do đó, đáp án là 3 - Chọn thông số cho sản phẩm.",Mã 5,others
3,4,"Đáp án: 4.
Giải thích: Bình luận này có chứa từ ""đã dồn"", cho thấy rằng người bình luận đã chốt đơn hàng và muốn yêu cầu bán hàng chuyển mã hàng ""Mã 4"" cho mình. Do đó, đáp án là 4 - nếu đã chốt đơn.",Mã 4 dồn,others
3,6,"Đáp án: 6.
Giải thích: Bình luận ""Mã 6"" có chứa từ khóa ""thích"" và ""sản phẩm"", cho thấy người bình luận đang bày tỏ sự hài lòng về sản phẩm. Do đó, đáp án là 6.",Mã 6,others
3,7,"Đáp án: 7. Người bình luận muốn hủy đơn hàng hoặc không muốn nhận sản phẩm. Bình luận ""mã 7"" có thể là cách của người bình luận để thông báo rằng họ muốn hủy đơn hàng hoặc không muốn nhận sản phẩm mà họ đã đặt trước đó.",mã 7,others
0,0,"Đáp án: 0. Không phân tích được ý nghĩa của bình luận ""Abcd"".",Abcd,others
3,3,"Đáp án: 3. Bình luận này đang chọn thông số cho sản phẩm bằng cách chỉ ra kích cỡ ""L"" cho sản phẩm ""quân thương mặc"".",quân thương mặc L,others
3,4,"Đáp án: 4. Người bình luận đã sử dụng từ ""mã 8"", đây có thể là mã sản phẩm của sản phẩm mà họ đã quyết định mua và đã chốt đơn hàng.",Mã 8,others
3,3,Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm khi muốn lấy quần size M.,Lấy quần size M,others
3,3,"Đáp án: 3. Bình luận này đang chọn thông số cho sản phẩm bán hàng, nhất là thông số kích cỡ của quần là L.",quần L thương mặc,others
3,4,"Đáp án: 4. Bình luận cho biết đã dồn mã 8, tức là đã hoàn tất việc chốt đơn hàng.",Mã 8 dồn,others
3,3,"Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm bằng cách ghi mã sản phẩm là ""M8"".",M8,others
3,3,"Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm, cụ thể là kích cỡ quần là L.",quần L,others
2,2,"Đáp án: 2. Bình luận này đặt câu hỏi về việc kiểm tra đơn hàng đã được gửi đi 1 tuần nhưng vẫn chưa nhận được hàng, đồng thời cũng đưa ra thông tin thời gian giao hàng thông thường là 3 ngày.",Kiểm tra đơn hàng jum mjh 1 tuần rồi thường là 3ngay hàng đến,others
2,3,"Đáp án: 3.
Giải thích: Người bình luận đang hỏi về thông số của sản phẩm, nói cụ thể là chất liệu của quần là jin hay kaky. Do đó, đây là trường hợp chọn thông số cho sản phẩm.",Quần thương mặc chất jin hay kaky vậy e,others
0,3,"Đáp án: 3.
Giải thích: Người bình luận đang hỏi về thông số của sản phẩm, nói cụ thể là chất liệu của quần là jin hay kaky. Do đó, đây là trường hợp chọn thông số cho sản phẩm.",Dạ đúng r c,others
3,0,Error occurred,Mã 10,others
3,0,Error occurred,M11 Sm trắng chuột,others
3,0,Error occurred,Sơ mi,others
3,0,Error occurred,Mã 11,others
3,0,Error occurred,Mã 12 dồn đơn,others
3,0,Error occurred,Mã 12,others
3,0,Error occurred,13.0,others
3,1,"Không phân tích được ý nghĩa của bình luận ""12.0"". Bình luận này không có đủ thông tin để hiểu được ý nghĩa của nó.",12.0,others
3,1,"Không phân tích được ý nghĩa của bình luận ""14.0"". Bình luận này không có đủ thông tin để hiểu được ý nghĩa của nó.",14.0,others
3,0,"Bình luận này có chứa cảm nhận về sản phẩm với từ ""dôn đon"". Từ này có thể ám chỉ cảm giác không thoải mái, không phù hợp hoặc không ưa thích với sản phẩm. Do đó, đáp án là 5 - Không thích sản phẩm.",14 dôn đon,others
0,0,"Xin lỗi, tôi cần một bình luận cụ thể để phân tích. Vui lòng cung cấp thêm thông tin.",Xxx,others
3,3,"Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm khi sử dụng thuật ngữ ""15 dồn"", có thể đề cập đến kích cỡ hoặc số lượng sản phẩm. Tuy nhiên, việc chính xác hơn phụ thuộc vào ngữ cảnh của bình luận đó trong livestream và thông tin sản phẩm được giới thiệu.",15 dồn,others
3,3,"Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm bằng cách yêu cầu kích thước ""Ma 15"". ""Ma"" có thể được hiểu là mã kích cỡ, và ""15"" có thể là kích cỡ mong muốn của sản phẩm.",Ma 15,others
