,Label
0,Negative.
1,Negative.
2,Không biết
3,Không biết
4,Không biết
5,Không biết
6,Không biết
7,Không biết
8,Không biết
9,Không biết
10,Không biết
11,Không biết
12,Không biết
13,Không biết
14,Không biết
15,Không biết
16,Không biết
17,Không biết
18,Không biết
19,Không biết
20,Không biết
21,Không biết
22,Không biết
23,Không biết
24,Không biết
25,Không biết
26,Không biết
27,Không biết
28,Không biết
29,Không biết
30,Không biết
31,Không biết
32,Không biết
33,Không biết
34,Không biết
35,Không biết
36,Không biết
37,Không biết
38,Không biết
39,Không biết
40,Không biết
41,Không biết
42,Không biết
43,Không biết
44,Không biết
45,Không biết
46,Không biết
47,Không biết
48,Không biết
49,Không biết
