,Label
0,Không biết
1,Neutral.
2,Nhãn: Negative.
3,Neutral
4,Negative
5,Negative
6,Neutral
7,Negative
8,Negative.
9,Negative.
10,Nhãn: Neutral
11,Không biết
12,Neutral.
13,Negative
14,Không biết
15,Negative
16,Neutral.
17,Negative
18,Không biết
19,Không biết
20,Negative
21,Không biết
22,Negative
23,Negative.
24,Không biết
25,Negative
26,Positive
27,"Không đủ thông tin để đánh nhãn, vui lòng cung cấp tiếp thông tin."
28,Negative
29,Neutral
30,Neutral
31,Không biết
32,Negative.
33,Neutral
34,Neutral.
35,Nhãn: Positive
36,Không biết
37,Nhãn: Positive
38,Neutral
39,Negative
40,Không biết
41,Negative
42,Negative
43,Negative
44,Negative.
45,Negative.
46,Neutral
47,Negative.
48,Không biết
49,Không biết
