,Label
0,Unknown
1,Positive.
2,Positive.
3,Negative
4,Không biết
5,Negative
6,Negative.
7,Neutral
8,Neutral.
9,Negative.
10,Negative.
11,Neutral
12,Negative
13,Neutral
14,Không biết
15,Negative
16,Negative
17,Không biết
18,Không biết
19,Negative
20,Negative
21,Không biết
22,Không thể đánh nhãn cho câu này vì thiếu thông tin về ý định của người nói.
23,Negative.
24,Unknown
25,Neutral.
26,Negative
27,Unknown
28,Negative
29,Negative
30,Negative
31,Negative
32,Không biết
33,Negative.
34,Neutral.
35,Nhãn: Positive.
36,Negative
37,Negative.
38,Negative.
39,Neutral
40,Negative.
41,Negative
42,Neutral
43,Nhãn: Negative.
44,Negative.
45,Negative
46,Positive.
47,Neutral
48,Không biết
49,Negative.
