,Label
0,Positive
1,Negative
2,Neutral
3,Neutral
4,Nhãn: Negative.
5,Neutral
6,Negative
7,Neutral
8,Negative
9,Negative
10,Negative
11,Không biết
12,Không biết
13,Không biết
14,Negative
15,Negative
16,Negative
17,Neutral
18,Không biết
19,Negative
20,Không biết
21,Negative.
22,Negative
23,Neutral.
24,Negative
25,Negative
26,Neutral
27,Neutral
28,Negative.
29,Unknown
30,Không biết
31,Negative
32,Negative.
33,Neutral
34,Unknown
35,Neutral
36,Nhãn: Neutral.
37,Không biết
38,Unknown
39,Negative.
40,Neutral
41,Không biết
42,Negative.
43,Negative
44,Negative.
45,Positive
46,Neutral
47,Không biết
48,Neutral.
49,Negative
