,Label
0,Neutral
1,Negative
2,Negative
3,Negative
4,Negative
5,Positive
6,Neutral
7,Negative
8,Neutral
9,Negative
10,Neutral
11,Neutral
12,Negative
13,Neutral
14,Negative
15,Neutral
16,Negative
17,Neutral
18,Neutral
19,Neutral
20,Negative
21,Negative
22,Neutral
23,Negative
24,Negative
25,Neutral
26,Negative
27,Positive
28,Neutral
29,Neutral
30,Negative
31,Negative
32,Neutral
33,Positive
34,Neutral
35,Negative
36,Neutral
37,Neutral
38,Neutral
39,Negative
40,Neutral
41,Negative
42,Negative
43,Negative
44,Negative
45,Negative
46,Negative
47,Neutral
48,Unknown
49,Unknown
