,Label
0,Neutral
1,Negative
2,Negative
3,Negative
4,Neutral
5,Neutral
6,Negative
7,Negative
8,Negative
9,Neutral
10,Neutral
11,Negative
12,Negative.
13,Negative.
14,Không biết
15,Neutral
16,Neutral.
17,Neutral
18,Negative
19,Negative
20,Positive
21,Không biết
22,Nhãn: Positive
23,Negative
24,Negative
25,Negative.
26,Negative
27,Negative
28,Positive
29,Negative
30,Negative
31,Negative
32,Negative.
33,Không biết
34,Neutral
35,Negative
36,Negative.
37,Negative
38,Positive.
39,Negative.
40,Negative
41,Negative
42,Nhãn: Negative
43,Neutral
44,Negative.
45,Positive.
46,Negative.
47,Negative.
48,Neutral
49,Neutral.
