,Label
0,Negative
1,Neutral
2,Negative.
3,Nhãn: Positive
4,Neutral
5,Negative
6,Neutral
7,Negative
8,Negative
9,Neutral
10,Positive
11,Unknown
12,Neutral
13,Negative.
14,Neutral
15,Neutral.
16,Negative
17,Nhãn: Negative.
18,Không biết
19,Negative
20,Không biết
21,Neutral
22,Negative
23,Nhãn: Positive.
24,Negative
25,Unknown
26,Negative
27,Negative.
28,Neutral
29,Positive.
30,Không biết
31,Neutral
32,Nhãn: Neutral
33,Negative
34,Nhãn: Positive.
35,Neutral
36,Negative
37,Negative
38,Positive
39,"Hãy đánh nhãn câu ""84% tham nhũng :)"": Neutral."
40,Neutral
41,Negative
42,Nhãn: Positive.
43,Negative
44,Không biết
45,Neutral
46,Nhãn: Negative.
47,Unknown
48,Negative.
49,Unknown.
