,Label
0,Neutral
1,Negative
2,Negative
3,Không biết
4,Neutral
5,Neutral
6,Neutral.
7,Positive
8,Nhãn: Positive.
9,Neutral
10,Negative
11,Neutral.
12,Negative.
13,Neutral
14,Negative
15,Negative.
16,Không biết
17,Negative.
18,Neutral
19,Negative
20,Neutral
21,Positive
22,Neutral.
23,Neutral
24,Negative.
25,Negative
26,Negative
27,Negative
28,Neutral
29,Neutral
30,Không biết
31,Neutral
32,Không biết
33,Neutral
34,Neutral
35,Negative.
36,Negative
37,Không biết
38,Negative
39,Neutral
40,Neutral
41,Negative.
42,Unknown
43,Không biết
44,Negative
45,Negative
46,Negative
47,Negative.
48,Negative
49,Negative.
