,Label
0,Không biết
1,Unknown. Lời nói này không có nghĩa rõ ràng hoặc mang ý nghĩa chưa được xác định.
2,Không biết
3,Negative.
4,Không biết
5,Neutral
6,Positive.
7,Negative
8,Nhãn câu này là Neutral.
9,Negative
10,Negative.
11,Không biết
12,Negative
13,Negative
14,Negative.
15,Neutral
16,Neutral
17,Unknown.
18,Negative
19,Không biết
20,Neutral.
21,Negative
22,Negative
23,Neutral
24,Negative
25,Neutral
26,Không biết
27,Negative
28,Negative
29,Negative
30,Negative
31,Neutral.
32,Negative
33,Negative.
34,Negative
35,Negative.
36,Positive
37,Negative
38,Không biết
39,Negative
40,Negative
41,Positive.
42,Neutral
43,Negative
44,Neutral
45,Negative
46,Nhãn: Negative.
47,Không biết
48,Negative.
49,Negative.
