,Label
0,Neutral
1,Neutral
2,Không biết
3,Label: Positive.
4,Negative
5,Label: Neutral.
6,Label: Negative.
7,Label: Neutral
8,Labeling: Negative.
9,Unknown.
10,Label: Positive
11,Label: Positive.
12,Label: Negative.
13,Negative.
14,Positive.
15,Negative.
16,Negative.
17,Negative.
18,Negative
19,Negative
20,Neutral
21,Negative.
22,Negative
23,Negative
24,Nhãn: Neutral
25,Neutral
26,Negative
27,Negative
28,Negative.
29,Negative.
30,Negative
31,Neutral.
32,Nhãn câu này là Neutral.
33,Nhãn: Negative.
34,Neutral
35,Negative
36,Negative.
37,Negative
38,Neutral
39,Neutral.
40,Neutral.
41,Negative.
42,Không biết
43,Negative
44,Không biết
45,Negative.
46,Negative
47,Negative
48,Neutral.
49,Neutral
