,Label
0,Neutral
1,Neutral.
2,Negative
3,Negative
4,Neutral
5,Nhãn: Neutral.
6,Negative.
7,Neutral
8,Nhãn: Negative
9,Nhãn: Negative.
10,Neutral
11,Không biết
12,Negative
13,Negative.
14,Không biết
15,Negative.
16,Không biết
17,Neutral.
18,Negative
19,Negative.
20,Neutral
21,Negative
22,Neutral
23,Negative
24,Negative
25,Negative
26,Positive
27,Không biết
28,Neutral
29,Nhãn câu: Positive.
30,Không biết
31,Không biết
32,Neutral
33,Neutral.
34,Negative
35,Không biết
36,Neutral
37,Negative
38,Không biết
39,Negative.
40,Neutral.
41,Negative
42,Neutral
43,Nhãn: Negative.
44,Neutral
45,Negative
46,Negative
47,Neutral
48,Negative
49,Negative
